OUT_ID	AR002	AR004	AR007	AR008	AR010	AR013	AR014	AR016	AR020	AR022	AR025	AR028	AR031	AR034	AR037	AR040	AR043	AR044	AR046	AR049	AR052	AR055	AR057	AR059	AR062	AR063	AR065	AR074	AR076	AR077	AR078	AR081	AR082	AR084	AR085	AR088	AR090	AR091	AR093	AR094	AR095	AR096	AR098	AR099	AR101	AR102	AR103	AR105	AR107	AR109	AR110	AR112	AR113	AR114	AR116	AR118	AR119	AR120	AR122	AR123	AR124	AR126	AR127	AR129	AR130	AR132	AR133	AR134	AR135	AR136	AR137	AR138	AR139	AR140	AR142	AR144	AR146	AR147	AR149	AR150	AR153	AR154	AR155	AR157	AR159	AR160	AR163	AR164	AR166	AR167	AR170	AR171	AR174	AR176	AR178	AR179	AR181	AR184	AR185	AR187	AR192	AR194	AR196	AR198	AR201	AR202	AR204	AR205	AR207	AR210	AR211	AR213	AR216	AR218	AR220	AR223	AR224	AR227	AR229	AR231	AR233	AR234	AR236	AR239	AR240	AR241	AR242	AR243	AR244	AR245	AR246	AR247	AR248	AR249	AR250	AR251	AR252	AR253	AR255	AR256	AR258	AR259	AR263	AR264	AR266	AR267	AR268	AR270	AR272	AR273	AR275	AR278	AR285	AR288	AR291	AR296	AR298	AR300	AR302	AR304	AR306	AR308	AR310	AR313	AR315	AR317	AR319	AR321	AR324	AR326	AR327	AR329	AR332	AR334	AR335	AR336	AR337	AR339	AR340	AR341	AR342	AR343	AR344	AR346	AR348	AR349	AR351	AR353	AR355	AR357	AR358	AR359	AR361	AR362	AR363	AR364	AR366	AR368	AR370	AR372	AR373	AR376	AR377	AR379	AR381	AR383	AR385	AR387	AR389	AR391	AR418
519886e19c548df3a7d9a7d881e3cb7c	814	1705	5112	5554	357	1327	1315	50	3278	5767	3760	8198	4470	3511	3300	4828	2213	2746	7247	837	3657	3844	3105	6670	2524	16387	3197	701	6806	6644	1776	6024	4472	5580	6306	4398	7243	4524	8333	2249	1230	2223	81	3712	2269	3847	1336	1475	9919	6267	3208	1533	1949	1766	1686	2903	1572	2763	917	532	1265	1910	2641	2422	6966	3623	4684	955	628	2406	2990	6592	8814	1172	673	647	4354	672	110	1393	2744	2012	172	936	1494	368	513	2000	4414	1817	2833	448	113	191	4880	6758	453	1072	72	64	5528	3950	5976	6540	2625	5696	1677	6978	2443	6117	3809	4502	8942	2755	365	5184	5162	5038	9420	8519	398	4876	3984	122	262	13780	17329	4312	696	10233	2767	11549	3669	5617	1589	1515	11175	5524	249	2622	1808	282	1375	8375	3426	2452	1237	487	178	201	1655	3094	1586	5880	4995	2608	1550	7578	6186	3564	54	320	2299	5426	2952	1985	896	4093	3471	4070	3832	986	3515	263	180	940	1561	256	1147	468	60	416	142	1290	316	849	675	2897	1302	155	673	3060	475	266	2345	2608	1807	325	560	118	2685	2130	117	1622	1588	7317	5450	13015	942	1214	4099
2645c96ddce6120acd43b772a95e1265	14	6	0	178	210	77	454	0	0	0	6	0	85	38	0	46	0	0	0	0	0	0	4965	1509	96	0	1449	0	134	0	0	44	131	0	395	0	0	31	0	7	3399	14706	14148	5755	2481	7115	3331	16385	4390	8959	5366	138	1715	20423	1248	6659	4193	12794	11485	5294	3296	4922	10783	7021	2825	11987	1317	9163	10942	4734	9573	0	2406	14106	14880	12148	1335	17475	19814	15116	9419	2726	10137	9097	270	9602	3716	9494	7193	6857	4476	8291	616	0	34	19	5	14	13	0	0	0	32	20	35	27	104	126	14	6	0	26	21	10	0	107	4	74	11	35	0	0	7	0	0	0	0	0	0	0	0	98	34	473	0	0	76	11	4	87	258	0	153	112	19	60	16	3798	32	25	46	70	2782	264	116	50	3956	117	126	109	30	1519	126	48	32	73	932	209	89	3450	1176	6328	860	0	13	0	570	14	13	10	7	98	18	23	34	0	952	6390	3885	10915	239	11707	48	303	0	15869	1102	1953	640	2017	2382	1857	6688	9	554	7	2	1676	5484	6605	0
5b4680d064caa358a47ba70afde25710	83	7345	1218	3866	8216	12602	11977	674	179	86	81	3433	122	14122	0	781	0	0	450	12	0	17	419	10	2334	15	261	7238	0	12176	16229	0	12	51	3484	3901	156	48	534	584	8026	0	6684	0	1953	10473	1182	136	15	2399	46	4542	1065	728	244	1809	0	11412	29	7221	9	1539	6432	4809	8524	3554	0	0	7847	5604	0	0	0	7769	6008	18	10	12	29	58	10	15654	4993	381	749	0	8889	6869	0	988	2344	3210	13	0	83	94	0	0	25	0	34	10	90	0	143	227	431	102	34	8	107	43	0	0	0	175	0	118	9	109	0	0	0	0	0	0	67	34	25	58	0	140	13	87	19	0	192	0	0	419	270	59	12361	151	150	213	0	521	798	554	104	137	55	14	21	4982	999	125	251	125	0	108	62	160	91	700	84	200	66	57	8209	793	172	17	30	8	3605	39	0	0	17	23	0	22	0	0	220	300	9754	26	985	23	51	6	0	0	0	0	0	0	5	11	6	0	14	29	12	20	18	0	57
d6ffcaf596536806c854cb7cbef35c84	409	128	17	70	58	95	25	0	15	42	0	63	107	150	1146	107	75	169	39	28	0	54	20	7048	37	135	170	0	0	149	56	685	90	25	17	10	130	0	67	15	62	25	0	214	142	148	99	36	611	103	2094	775	292	381	103	159	207	0	175	0	109	128	114	2400	1561	227	517	0	0	0	167	340	0	277	81	37	55	401	0	31	31	0	25	58	75	11	55	72	72	57	161	145	1761	1286	516	812	5052	21	40	1265	141	3018	324	175	2752	256	1336	184	173	292	6031	817	2081	212	118	415	4592	884	200	3465	239	399	55	0	37	211	13081	824	869	1885	422	224	99	410	61	336	1907	8236	47	435	222	248	217	336	4302	507	989	77	40	142	123	59	66	0	109	88	97	244	164	178	53	51	2138	959	434	85	12	458	481	37	169	0	279	714	707	1247	536	409	221	29	53	91	26	145	587	8009	149	132	91	0	185	254	235	36	155	48	199	29	65	579	68	463	46	3881	2479	20	145	16	614	1085	130
08052ab06bc6c5dd6c68a7281c0ee4d1	2409	24	1172	772	5232	9150	8279	5448	6887	933	855	16	130	173	8076	10	971	362	0	23212	5	0	0	0	0	0	0	8963	0	484	146	0	0	0	0	16434	7424	0	504	25470	0	0	0	0	0	0	856	0	0	0	11	0	0	0	66	7535	0	0	0	0	0	4073	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	10	0	21	20	0	0	6019	13	0	0	0	0	0	0	0	0	0	0	7	0	0	14	0	0	2047	9386	4879	13018	2049	4069	15	299	0	26	4308	0	1587	237	0	12	32	3068	4639	27444	16207	306	802	5432	1663	91	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1057
9615788f6f106c3f67e8ffd154f52a15	0	0	5	20	10	0	32	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1466	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4087	1761	2761	7842	10015	1175	2926	107	0	2646	6	7432	0	0	0	491	282	521	1989	151	3304	317	555	1951	271	0	0	135	332	1675	0	0	12682	324	11	287	0	108	409	0	189	288	424	0	0	874	917	509	0	0	0	0	0	0	19	177	0	4	0	0	0	15	27	0	19	0	22	0	0	0	0	11	45	0	0	31	0	0	0	0	0	25	0	0	18	0	0	0	4244	0	0	0	0	60	0	0	0	0	0	183	0	0	81	66	0	112	5	640	96	0	1426	5785	2964	1756	3801	2038	796	6722	2318	1449	4665	1827	4240	3951	6047	424	112	3717	83	6969	2824	90	30	39	21	0	599	11	8	0	0	44	17	9	10	19	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5996
ce4529241389eb7e47ce6cb50b1a572e	23	0	0	12	58	0	0	0	2015	12	11	0	0	0	0	0	0	0	0	0	22	1107	922	163	6117	0	2721	3530	341	1782	618	200	1515	1274	1008	0	61	425	879	493	0	0	5	0	0	0	0	0	0	0	4	0	6	0	137	313	10	0	0	0	0	167	4	0	0	13	0	4	0	7	0	52	0	0	0	20	0	0	0	12	11	0	0	0	0	0	7	0	0	0	0	29	36	0	14	102	0	0	17	0	0	0	0	0	29	0	0	0	20	0	0	17	11	0	0	0	0	81	0	68	8	0	9	0	12	15	0	32	2279	29	0	0	0	0	0	11	62	0	0	134	99	0	25	57	59	31	1705	1298	15	75	1841	3535	1342	723	2126	1265	235	4974	2728	5487	0	8	161	1426	16	59	0	253	10	506	11881	930	0	25	0	0	627	0	0	0	0	74	0	13	15	0	67	0	26	0	0	5	0	0	0	3	22	0	0	0	0	0	2	4	0	0	0	0	0	0	2046
20238cd5e1b8443315ce78d5e15b5cec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	240	175	11	3148	0	0	1736	36	3970	3993	25443	0	3711	135	3490	577	317	39	0	91	66	793	0	0	5	0	0	2841	0	0	19	0	135	26	954	93	86	57	68	14	0	801	2253	6	0	1718	26	80	2035	23	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	31	0	92	97	3277	9	96	9	342	0	92	39	0	3	887	22	0	59	8	0	0
5cfa0a28f015e3cc45d255ecf3e17ef3	15486	5190	3137	6106	615	0	13	659	8	0	0	0	0	0	0	836	14308	13976	32	0	0	0	0	5	0	18	35	0	0	0	28	0	0	0	13	0	0	7	0	0	0	7	0	0	0	0	0	47	0	0	0	0	0	0	52	122	0	4	0	0	0	111	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	23	9	0	0	0	0	0	8	0	0	0	0	0	6	9	0	0	0	0	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	57	30	0	82	0	16	0	0	0	0	9	0	0	0	0	0	0	54	0	0	126	0	6	11	0	0	0	0	15	5	4	0	13	0	0	0	0	453	4	0	0	0	0	3	0	0	0	34	15	20	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a46dc7564f4cb9ce207373e8215bb632	0	4	0	0	26	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	34	0	0	17	0	0	2405	10	24	156	38	716	2267	2907	37	1003	0	46	1087	3543	7	3534	3904	404	638	9	180	413	1757	105	579	0	186	10	167	842	0	1528	1667	954	2708	114	326	546	118	278	1127	401	6650	31	322	38	2366	10	1142	60	114	259	77	118	19	0	22	24	598	117	0	574	277	913	187	36	8	209	51	4863	0	0	140	90	122	5694	51	0	0	21	0	62	32	11	20	1095	96	12	218	27	31	0	43	76	0	7	0	294	0	1542	144	37	79	6337	2020	1123	1280	3427	3051	221	400	967	28	1045	2721	95	3771	1003	9499	2550	428	2552	422	1490	3500	4186	2160	2050	3928	21	0	0	0	0	0	0	0	0	68	0	0	0	5	19	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6629
